sl_buffer_mult,eval_dt,code,direction,entry,tp,sl,exit,result,pnl_pct,rr_real,mfe_pct,mae_pct,d1_ohlc_pct,d2_ohlc_pct,d3_ohlc_pct,d4_ohlc_pct,d5_ohlc_pct,cumulative_ohlc,ma_divergence,trend_aligned,swing_rank
1.0,2026-03-24,9984,売り,3636.0,1844.8,3875.1,3875.1,loss,-6.58,-1.0,0.03,12.43,-10.891,-21.535,-22.442,-1.76,5.171,-51.458,-5.508,True,3
1.0,2026-03-24,6758,売り,3288.0,2994.9,3407.8,3209.0,forced_win,2.4,0.66,4.62,0.36,1.825,4.684,6.782,10.493,6.204,29.988,-8.702,True,4
1.0,2026-03-24,6098,売り,6463.0,6080.9,6724.3,6526.0,forced_loss,-0.97,-0.24,5.35,2.82,0.944,2.213,-1.454,9.531,-2.754,8.479,-16.682,True,5
1.0,2026-03-25,4568,売り,2903.0,2910.5,2993.1,2910.5,win,-0.26,-0.08,2.84,0.36,3.462,-0.93,11.368,12.125,4.547,30.572,-7.657,True,1
1.0,2026-03-25,6501,売り,4853.0,4039.9,5033.4,4732.0,forced_win,2.49,0.67,9.58,0.19,4.101,8.407,22.605,22.028,8.922,66.062,-2.944,True,2
1.0,2026-03-25,9984,売り,4000.0,1844.8,4234.4,3764.0,forced_win,5.9,1.01,12.95,2.2,7.725,6.9,25.7,32.0,17.275,89.6,-6.128,True,3
1.0,2026-03-25,6758,売り,3271.0,2994.9,3388.4,3372.0,forced_loss,-3.09,-0.86,4.13,3.52,3.149,5.258,8.988,4.677,-7.276,14.797,-8.607,True,4
1.0,2026-03-26,6701,売り,3947.0,3779.7,4119.9,3779.7,win,4.24,0.97,6.33,1.39,-2.331,13.859,7.043,-3.699,-6.207,8.665,-16.853,True,1
1.0,2026-03-26,4568,売り,2894.5,2910.5,2984.7,2910.5,win,-0.55,-0.18,0.64,1.23,-1.814,10.52,11.28,3.679,-0.829,22.836,-7.302,True,2
1.0,2026-03-26,6501,売り,4709.0,4039.9,4883.4,4675.0,forced_win,0.72,0.19,6.82,2.87,-0.51,14.122,13.527,0.021,-0.658,26.502,-3.111,True,3
1.0,2026-03-26,6098,売り,6451.0,6080.9,6704.3,6704.3,loss,-3.93,-1.0,5.18,10.76,-2.015,8.991,-3.317,-27.934,-25.624,-49.899,-16.026,True,4
1.0,2026-03-26,7974,売り,9130.0,8690.4,9518.9,8690.4,win,4.82,1.13,5.39,1.97,-2.727,7.273,8.697,4.929,10.624,28.795,-9.297,True,5
1.0,2026-03-26,6758,売り,3180.0,3179.5,3293.9,3179.5,win,0.02,0.0,1.38,2.26,-3.176,0.66,-3.774,-16.069,-16.101,-38.459,-8.599,True,6
1.0,2026-03-26,7267,売り,1318.5,1250.4,1356.7,1273.0,forced_win,3.45,1.19,5.12,2.54,-3.944,12.287,11.983,8.95,9.367,38.642,-5.359,True,7
1.0,2026-03-27,9984,売り,3700.0,1844.8,3945.9,3945.9,loss,-6.65,-1.0,5.89,7.62,3.459,10.27,-5.649,-1.649,7.027,13.459,-7.445,True,1
1.0,2026-03-27,6098,売り,6307.0,6080.9,6549.1,6549.1,loss,-3.84,-1.0,3.01,5.36,2.347,-10.243,-35.421,-33.059,-32.107,-108.483,-15.676,True,2
1.0,2026-03-27,6501,売り,4484.0,4039.9,4657.5,4657.5,loss,-3.87,-1.0,2.14,5.98,-0.223,-0.847,-15.031,-15.745,-21.833,-53.68,-3.175,True,3
1.0,2026-03-27,7974,売り,9033.0,8690.4,9408.3,8690.4,win,3.79,0.91,4.37,0.46,4.129,5.568,1.76,7.517,8.635,27.61,-8.594,True,4
1.0,2026-03-27,7267,売り,1262.5,1250.4,1299.1,1269.0,forced_loss,-0.51,-0.18,0.91,2.5,-0.475,-0.792,-3.96,-3.525,-1.624,-10.376,-5.852,True,5
1.0,2026-03-27,6758,売り,3176.0,2994.9,3286.9,3286.9,loss,-3.49,-1.0,1.26,6.61,0.283,-4.156,-16.467,-16.499,-14.956,-51.795,-8.486,True,6
1.0,2026-03-30,6098,売り,6405.0,6080.9,6640.3,6640.3,loss,-3.67,-1.0,0.14,3.75,-5.496,-30.289,-27.963,-27.026,-26.042,-116.815,-15.332,True,1
1.0,2026-03-30,4568,売り,2805.5,2833.5,2897.4,2833.5,win,-1.0,-0.3,1.41,0.7,2.121,-5.721,-10.372,-7.557,-6.933,-28.462,-6.83,True,2
1.0,2026-03-30,7974,売り,8969.0,8690.4,9340.4,8690.4,win,3.11,0.75,3.69,1.18,3.467,-0.368,5.43,6.556,4.549,19.634,-7.938,True,3
1.0,2026-03-30,6701,売り,3859.0,3779.7,4023.1,4023.1,loss,-4.25,-1.0,1.4,4.3,0.363,-10.625,-13.19,-14.926,-12.438,-50.816,-16.113,True,4
1.0,2026-03-30,6501,売り,4465.0,4039.9,4633.7,4633.7,loss,-3.78,-1.0,0.43,6.43,-2.128,-16.372,-17.088,-23.203,-19.127,-77.917,-3.289,True,5
1.0,2026-03-30,6758,売り,3190.0,2994.9,3298.1,3298.1,loss,-3.39,-1.0,0.6,6.14,-2.821,-15.078,-15.11,-13.574,-11.003,-57.586,-8.382,True,6
1.0,2026-03-30,6702,売り,3191.0,3155.9,3301.0,3155.9,win,1.1,0.32,1.69,0.81,1.473,-8.148,-8.211,-9.182,-6.456,-30.523,-12.13,True,7
1.0,2026-03-30,7267,売り,1266.0,1305.9,1302.6,1305.9,win,-3.15,-1.09,0.91,1.54,0.039,-3.12,-2.686,-0.79,0.434,-6.122,-6.352,True,8
1.0,2026-03-30,8766,売り,7322.0,5942.9,7607.1,7308.0,forced_win,0.19,0.05,1.35,3.5,-2.568,-5.244,-0.656,2.062,0.15,-6.255,5.209,False,9
1.0,2026-03-30,9104,売り,6750.0,4767.2,7015.6,6851.0,forced_loss,-1.5,-0.38,8.15,2.93,6.8,15.319,4.8,0.133,-4.607,22.444,17.368,False,10
1.0,2026-03-31,6758,売り,3349.0,2994.9,3454.6,3311.0,forced_win,1.13,0.36,1.94,1.88,-0.119,-0.149,1.314,3.762,2.508,7.316,-8.252,True,1
1.0,2026-03-31,1605,売り,4530.0,2058.9,4724.7,4724.7,loss,-4.3,-1.0,0.2,4.3,-7.881,0.11,-6.954,-4.57,-0.088,-19.382,17.198,False,2
